Diamtrs,Laiks3,Laiks2,Laiks1
2.643,13.46,20.38,47.12
2.89,23.44,37.77,5.15
2.802,24.98,42.76,13.53
2.977,10.86,28.71,4.7
2.003,3.2,12.3,10.21
2.609,1.42,42.86,52.1
1.986,36.16,17.35,2.58
1.229,55.23,53.65,24.51
2.02,37.26,20.43,32.59
2.817,32.52,23.35,32.22
1.836,27.7,14.56,31.81
1.397,32.55,18.46,47.5
2.605,12.65,55.17,2.84
1.781,54.0,41.49,38.44
1.298,11.86,57.07,52.11
2.413,5.71,26.65,10.19
2.995,9.78,54.16,23.56
1.05,21.04,38.26,27.0
1.096,20.91,1.35,52.6
0.264,1.83,7.88,40.32
2.323,43.95,47.6,36.4
0.772,29.95,39.45,6.03
1.108,39.53,7.09,28.47
0.75,42.04,54.06,42.41
2.57,11.33,50.3,5.78
0.845,42.84,39.62,1.19
1.361,21.75,20.25,23.08
0.523,8.63,42.06,19.36
2.789,9.76,58.54,21.73
0.779,40.0,49.34,20.3
2.35,40.36,28.74,38.41
2.305,39.39,16.85,59.29
0.911,56.36,12.56,20.48
2.406,28.56,16.0,22.14
1.22,45.61,38.93,12.05
1.391,13.82,46.21,34.92
1.174,37.27,39.96,48.87
1.394,50.27,54.45,59.41
1.209,21.13,3.07,14.24
0.198,1.74,57.18,35.81
1.497,27.54,45.48,35.07
1.587,46.31,59.68,35.02
0.752,36.47,49.28,2.39
1.242,50.07,4.55,35.95
0.471,49.39,57.74,45.51
2.959,49.29,32.4,27.77
1.883,25.49,18.78,23.62
1.169,18.73,8.94,27.33
2.645,47.14,9.83,23.21
0.311,1.41,58.07,4.89
1.923,19.99,57.45,20.6
1.615,37.54,51.52,46.95
0.924,40.94,33.23,25.85
2.018,44.5,50.51,55.44
1.679,51.8,56.93,50.93
0.317,23.17,8.69,5.45
2.064,50.34,1.72,33.35
0.467,54.75,23.89,52.72
0.598,30.75,57.2,53.43
1.965,3.99,40.88,43.03
2.367,29.88,40.44,10.47
0.932,48.26,2.0,15.43
0.957,58.72,20.02,10.28
2.584,38.37,40.12,18.94
1.011,7.43,6.05,12.94
1.89,20.25,5.51,23.22
2.924,25.31,2.69,24.82
2.027,45.67,3.66,7.68
0.225,24.28,46.06,38.58
1.181,19.6,12.85,35.57
2.574,34.09,11.84,22.87
1.477,20.3,26.08,59.51
1.907,0.74,29.73,27.76
2.144,50.87,27.77,31.14
2.326,44.43,22.61,22.93
2.555,3.5,33.76,57.84
2.633,34.09,7.06,55.6
1.491,9.48,49.9,48.33
1.249,15.96,20.29,57.05
0.757,19.34,40.4,17.58
2.25,25.57,28.91,44.74
2.021,47.75,8.18,39.18
1.398,44.79,7.31,4.71
1.147,33.7,57.55,57.47
1.58,44.46,20.44,35.16
0.012,5.84,51.27,0.63
0.93,47.69,30.15,4.2
0.127,1.99,15.67,3.47
0.106,33.13,48.77,56.12
1.193,23.11,31.59,55.78
1.533,1.21,31.2,14.6
0.231,54.33,6.79,59.47
2.615,2.09,45.01,48.78
2.665,10.51,29.14,48.87
0.026,33.6,59.09,39.59
0.612,40.33,46.21,55.8
1.159,43.9,19.14,10.54
1.057,8.3,10.21,47.56
1.193,9.46,42.46,18.37
1.122,45.82,35.68,24.29
0.242,41.91,8.13,53.69
2.498,56.53,42.08,55.52
1.116,7.34,44.5,49.29
2.188,47.19,26.08,17.62
0.347,24.02,1.06,33.26
2.242,18.28,22.15,5.01
0.752,33.34,32.77,13.96
0.276,44.86,52.6,27.51
0.837,58.27,48.96,9.43
2.753,13.35,22.5,51.54
1.851,0.64,52.6,19.28
1.502,3.21,15.01,5.32
2.876,37.5,17.51,6.97
0.099,1.85,26.61,26.26
1.051,59.36,27.12,5.2
0.699,55.76,4.36,26.75
0.203,46.57,20.24,27.1
2.003,9.67,0.88,9.35
0.208,32.55,40.1,37.37
0.865,31.8,7.38,12.94
2.907,20.61,42.43,57.13
0.303,49.01,29.1,55.59
1.928,13.36,2.54,13.03
1.06,58.62,17.4,5.2
1.164,46.12,28.5,51.1
1.326,40.97,50.74,13.09
1.039,24.0,13.77,32.25
0.391,42.43,32.72,33.41
0.76,58.54,36.94,11.77
0.025,35.87,37.09,15.17
2.955,0.44,11.4,13.32
1.497,20.89,0.34,25.69
1.924,6.63,43.85,11.72
1.929,50.6,18.4,1.78
2.697,45.17,24.91,46.1
1.553,59.04,30.89,46.33
2.303,51.06,5.34,54.69
1.534,26.64,30.33,46.19
2.268,40.74,6.58,43.88
2.483,18.01,42.08,33.83
0.502,2.64,44.71,31.68
2.768,44.03,7.5,57.97
1.412,50.04,4.13,0.5
2.205,14.25,15.99,8.5
0.56,57.96,51.08,7.74
1.874,43.85,51.11,59.91
1.076,40.71,5.59,14.28
2.716,53.89,38.62,14.87
2.288,47.75,59.18,10.22
1.794,21.71,8.56,36.67
1.979,39.22,18.32,51.52
1.595,20.9,36.56,27.9
2.362,54.94,24.92,16.34
2.022,18.63,24.37,36.82
2.856,32.64,15.63,2.83
2.823,27.47,12.25,58.55
2.072,48.24,35.97,59.33
1.535,30.66,58.19,15.26
1.257,18.77,21.11,14.77
1.003,43.81,40.39,16.97
0.956,57.67,0.75,57.69
0.384,25.29,47.03,55.36
0.188,50.18,6.5,34.19
1.7,22.78,51.82,21.83
2.807,45.65,51.99,59.52
2.488,2.67,55.07,11.08
1.589,11.65,16.05,2.23
0.437,46.93,59.05,7.77
0.235,52.04,2.12,58.02
1.748,2.5,18.01,15.99
0.199,37.33,46.0,25.13
0.689,15.56,35.46,45.1
0.165,31.23,12.32,21.66
2.364,3.33,20.1,40.59
0.056,24.71,59.09,32.05
2.227,28.98,41.02,35.15
2.023,22.59,44.69,16.49
2.721,32.32,13.11,8.54
2.268,16.83,9.35,22.21
2.731,50.5,25.8,15.68
0.336,9.83,18.46,51.46
0.615,22.01,52.36,54.32
2.955,14.26,31.39,16.08
1.735,52.49,39.49,56.12
0.93,43.31,4.99,56.87
2.157,26.21,15.55,33.96
0.085,59.95,14.68,44.19
2.899,24.03,27.21,44.74
2.221,6.94,44.03,45.14
1.104,26.25,24.06,31.06
1.26,29.56,9.71,32.96
1.339,50.47,24.22,42.51
2.239,27.82,10.48,1.48
0.883,36.3,42.39,48.7
0.181,47.48,10.11,56.0
2.218,50.56,14.59,39.49
0.015,51.2,25.97,39.34
0.139,13.52,52.68,38.88
2.983,19.08,23.99,51.96
0.076,35.63,37.96,53.16
0.658,39.35,16.48,16.06
0.804,1.79,25.2,54.17
1.856,58.49,49.71,25.15
1.456,9.23,34.56,14.46
0.559,48.17,10.9,12.81
